id,class
12001,9
12002,15
12003,3
12004,1
12005,7
12006,16
12007,18
12008,1
12009,15
12010,7
12011,10
12012,15
12013,9
12014,14
12015,8
12016,3
12017,1
12018,6
12019,1
12020,15
12021,14
12022,18
12023,9
12024,9
12025,9
12026,15
12027,7
12028,15
12029,2
12030,5
12031,17
12032,5
12033,5
12034,9
12035,4
12036,19
12037,7
12038,3
12039,6
12040,4
12041,7
12042,17
12043,7
12044,14
12045,10
12046,13
12047,17
12048,4
12049,13
12050,13
12051,18
12052,15
12053,19
12054,10
12055,4
12056,13
12057,5
12058,18
12059,17
12060,9
12061,12
12062,2
12063,1
12064,14
12065,11
12066,18
12067,8
12068,14
12069,1
12070,5
12071,12
12072,11
12073,5
12074,5
12075,16
12076,15
12077,20
12078,13
12079,3
12080,2
12081,3
12082,19
12083,4
12084,10
12085,17
12086,20
12087,3
12088,8
12089,8
12090,5
12091,10
12092,5
12093,11
12094,4
12095,16
12096,1
12097,8
12098,4
12099,2
12100,10
12101,9
12102,9
12103,12
12104,16
12105,6
12106,1
12107,12
12108,17
12109,3
12110,16
12111,7
12112,16
12113,11
12114,9
12115,9
12116,14
12117,14
12118,10
12119,17
12120,17
12121,10
12122,2
12123,12
12124,12
12125,14
12126,14
12127,12
12128,11
12129,4
12130,4
12131,6
12132,7
12133,3
12134,6
12135,11
12136,9
12137,6
12138,11
12139,12
12140,18
12141,5
12142,12
12143,8
12144,9
12145,8
12146,7
12147,3
12148,13
12149,18
12150,8
12151,3
12152,14
12153,6
12154,6
12155,16
12156,8
12157,17
12158,15
12159,4
12160,5
12161,10
12162,17
12163,9
12164,19
12165,9
12166,8
12167,18
12168,15
12169,4
12170,4
12171,10
12172,12
12173,16
12174,12
12175,5
12176,7
12177,4
12178,16
12179,10
12180,9
12181,10
12182,9
12183,16
12184,12
12185,16
12186,8
12187,10
12188,18
12189,4
12190,7
12191,5
12192,15
12193,10
12194,19
12195,16
12196,10
12197,12
12198,14
12199,18
12200,18
12201,15
12202,17
12203,7
12204,19
12205,15
12206,14
12207,20
12208,9
12209,19
12210,13
12211,15
12212,8
12213,14
12214,5
12215,18
12216,4
12217,7
12218,11
12219,3
12220,5
12221,9
12222,4
12223,17
12224,19
12225,8
12226,9
12227,19
12228,5
12229,1
12230,12
12231,15
12232,19
12233,9
12234,16
12235,8
12236,8
12237,6
12238,18
12239,12
12240,14
12241,14
12242,1
12243,18
12244,7
12245,6
12246,6
12247,18
12248,5
12249,20
12250,4
12251,12
12252,10
12253,15
12254,7
12255,15
12256,12
12257,4
12258,9
12259,8
12260,17
12261,16
12262,3
12263,11
12264,13
12265,13
12266,7
12267,20
12268,17
12269,4
12270,14
12271,8
12272,11
12273,17
12274,17
12275,18
12276,4
12277,2
12278,9
12279,9
12280,12
12281,12
12282,14
12283,6
12284,11
12285,12
12286,17
12287,2
12288,6
12289,20
12290,7
12291,12
12292,16
12293,13
12294,13
12295,7
12296,7
12297,17
12298,12
12299,5
12300,9
12301,18
12302,3
12303,17
12304,5
12305,9
12306,3
12307,9
12308,7
12309,14
12310,13
12311,5
12312,12
12313,5
12314,11
12315,3
12316,6
12317,14
12318,11
12319,19
12320,5
12321,3
12322,2
12323,18
12324,5
12325,9
12326,18
12327,10
12328,20
12329,2
12330,14
12331,13
12332,10
12333,10
12334,14
12335,2
12336,14
12337,15
12338,10
12339,10
12340,16
12341,13
12342,9
12343,13
12344,3
12345,8
12346,2
12347,8
12348,12
12349,10
12350,15
12351,19
12352,18
12353,7
12354,16
12355,2
12356,2
12357,17
12358,14
12359,13
12360,8
12361,5
12362,1
12363,7
12364,3
